Fuel_Type,body_type,kms_driven,transmission_type,owner_No,manufacturer,model,Manufacture_year,price,Insurance Validity,Mileage,Engine,Max Power,Torque,Seats
1,8,33700.0,0,1,29,228,2021,2175000.0,2,14.6,1956.0,167.67,350.0,5
4,3,54601.0,1,3,20,158,2014,442000.0,2,22.38,1197.0,88.5,113.0,5
1,3,110000.0,1,1,20,158,2018,690000.0,5,28.4,1248.0,74.0,190.0,5
4,3,64000.0,1,2,20,142,2017,500000.0,4,23.1,998.0,67.04,90.0,5
1,9,40525.0,0,1,1,12,2016,3395000.0000000005,2,21.76,1995.0,188.0,400.0,5
1,9,100000.0,1,1,20,144,2015,650000.0,5,26.21,1248.0,88.5,200.0,5
4,3,44154.0,0,2,8,61,2016,537000.0,2,19.0,1199.0,88.7,110.0,5
1,5,70000.0,1,1,27,212,2016,750000.0,5,19.98,1461.0,108.5,245.0,7
4,9,79000.0,0,1,28,220,2018,1789999.9999999998,2,15.1,1798.0,178.0,250.0,5
4,3,68039.0,1,2,29,242,2017,468000.0,5,23.84,1199.0,84.0,114.0,5
4,3,60000.0,1,2,20,154,2014,420000.0,5,18.5,1197.0,85.8,114.0,5
4,3,60000.0,1,2,20,154,2014,420000.0,5,18.5,1197.0,85.8,114.0,5
4,3,10000.0,1,1,9,83,2021,919999.9999999999,5,20.0,998.0,118.36,171.62,5
4,9,49873.0,1,1,8,58,2013,533000.0,4,16.8,1497.0,116.3,146.0,5
4,3,90000.0,0,3,31,264,2013,850000.0,5,17.2,1197.0,103.6,175.0,5
1,9,48960.0,1,2,28,221,2017,751000.0,5,21.13,1498.0,108.6,250.0,5
1,3,70000.0,1,2,9,72,2014,388000.0,5,24.0,1120.0,70.0,160.0,5
4,3,68000.0,1,2,9,83,2013,490000.00000000006,2,18.5,1197.0,82.85,113.7,5
1,8,23017.0,1,1,17,119,2016,494000.00000000006,4,25.32,1198.0,77.0,190.0,6
1,3,83000.0,1,2,9,83,2013,525000.0,2,21.27,1396.0,88.76,219.6,5
1,8,92000.0,0,2,1,18,2016,2890000.0,2,16.55,1995.0,187.74,400.0,5
4,3,62139.0,1,1,20,163,2018,550000.0,2,20.51,998.0,67.04,90.0,5
3,3,74000.0,1,1,9,82,2013,365000.0,2,19.2,1086.0,68.05,99.04,5
4,3,26500.0,0,2,27,210,2016,420000.0,2,24.04,999.0,67.0,91.0,5
1,9,81716.0,0,1,32,272,2017,1895000.0,2,27.03,1969.0,190.0,400.0,5
1,9,24000.0,0,2,21,174,2018,5990000.0,2,17.0,2987.0,254.8,620.0,5
4,8,10000.0,0,1,17,130,2022,1050000.0,5,17.0,1197.0,108.6,200.0,5
4,8,18000.0,0,1,16,114,2021,2075000.0,2,16.56,1451.0,141.0,250.0,6
4,3,38197.0,1,1,8,56,2013,394000.0,4,19.4,1198.0,86.8,109.0,5
4,3,23000.0,0,2,20,139,2017,725000.0,2,19.56,1197.0,81.8,113.0,5
4,3,50000.0,1,1,20,138,2013,240000.0,5,20.92,998.0,67.1,90.0,5
4,8,10000.0,0,1,27,211,2022,835000.0,5,19.03,999.0,71.01,96.0,5
4,3,19000.0,1,1,9,72,2019,695000.0,5,18.9,1197.0,81.86,113.75,5
4,8,14000.0,0,1,13,99,2020,1725000.0,2,16.5,1353.0,138.08,242.0,5
4,3,29268.0,1,1,9,69,2014,330000.0,2,21.1,814.0,55.2,74.5,5
4,9,20000.0,0,1,31,269,2019,990000.0,5,18.19,1197.0,103.2,175.0,5
4,9,30000.0,1,1,30,259,2018,750000.0,5,17.1,1496.0,105.5,140.0,5
1,8,30000.0,1,1,16,113,2021,1750000.0,5,17.41,1956.0,167.68,350.0,5
4,8,7100.0,0,1,9,66,2022,2082999.9999999998,2,14.2,1999.0,156.9,191.0,6
4,3,43679.0,1,1,9,82,2010,271000.0,2,19.81,1086.0,68.05,99.04,5
4,8,40000.0,0,1,9,68,2018,1280000.0,5,14.8,1591.0,121.3,151.0,5
1,3,40562.0,1,1,9,83,2012,436000.00000000006,4,22.54,1396.0,88.76,219.6,5
4,8,20000.0,0,1,9,79,2019,1250000.0,5,18.15,998.0,118.35,171.6,5
1,8,58600.0,0,1,17,131,2016,1350000.0,5,16.0,2179.0,140.0,330.0,7
4,8,20000.0,0,1,9,79,2019,1250000.0,5,18.15,998.0,118.35,171.6,5
4,8,42050.0,0,1,31,265,2020,2225000.0,2,18.4,1498.0,147.94,250.0,5
4,3,65017.0,0,1,20,142,2015,475000.0,1,23.1,998.0,67.04,90.0,5
1,9,80000.0,0,2,1,11,2008,600000.0,5,13.2,1995.0,170.0,34.7,5
4,8,30000.0,0,1,12,94,2021,2450000.0,5,14.1,1368.0,160.77,250.0,5
4,8,20000.0,0,1,13,99,2020,1625000.0,5,16.5,1353.0,138.08,242.0,5
4,3,80000.0,1,3,9,82,2009,249000.00000000003,5,20.36,1197.0,78.9,111.8,5
1,8,30000.0,0,2,0,7,2016,2599000.0,5,14.16,1968.0,174.3,380.0,5
4,3,80000.0,1,3,9,82,2009,249000.00000000003,5,20.36,1197.0,78.9,111.8,5
4,3,52204.0,1,1,20,138,2017,385000.0,4,24.39,998.0,65.71,89.0,5
4,3,110000.0,1,3,9,83,2012,300000.0,5,17.0,1197.0,80.0,11.4,5
1,8,89000.0,0,1,6,48,2017,2975000.0,5,10.91,3198.0,197.0,470.0,7
4,3,29813.0,1,2,20,137,2014,276000.0,2,22.05,796.0,47.33,69.0,5
4,3,30000.0,1,1,6,51,2018,500000.0,5,18.16,1196.0,86.8,112.0,5
4,3,13345.0,0,1,20,151,2020,730000.0,2,20.89,1197.0,81.8,113.0,5
1,8,17100.0,0,1,9,66,2022,2245000.0,2,18.1,1498.0,113.42,250.0,7
4,3,75000.0,1,1,9,72,2014,399000.0,2,18.9,1197.0,82.0,114.0,5
4,3,75523.0,1,2,9,82,2011,312000.0,2,20.36,1197.0,78.9,111.8,5
1,8,47000.0,1,1,17,131,2015,1275000.0,2,16.0,2179.0,140.0,330.0,7
1,8,36500.0,1,1,29,228,2022,1989999.9999999998,2,16.35,1956.0,167.67,350.0,5
4,5,28253.0,1,1,27,215,2020,719000.0,2,20.0,999.0,71.01,96.0,7
1,8,50000.0,1,1,9,68,2016,1260000.0,5,19.67,1582.0,126.2,259.9,5
4,3,90000.0,1,2,9,82,2010,300000.0,5,20.36,1197.0,78.9,111.7,5
1,8,70000.0,0,2,1,20,2016,3981000.0,5,15.97,2993.0,258.0,560.0,5
4,3,52571.0,1,1,9,83,2016,627000.0,2,18.6,1197.0,81.83,114.7,5
1,9,70000.0,0,2,1,11,2010,1300000.0,5,16.07,1995.0,181.0,380.0,5
4,9,61993.0,1,1,8,58,2015,672000.0,2,17.4,1497.0,117.3,145.0,5
1,8,57000.0,0,1,9,78,2017,1825000.0,2,16.38,1995.0,182.46,400.11,5
1,8,80000.0,1,2,30,252,2021,3500000.0,5,14.24,2755.0,174.5,420.0,7
4,3,36359.0,1,1,9,83,2013,440000.00000000006,2,18.5,1197.0,82.85,113.7,5
1,8,70000.0,1,2,29,228,2019,1460000.0,5,17.0,1956.0,138.1,350.0,5
4,9,30301.0,0,1,9,80,2017,1033000.0,2,17.0,1591.0,121.3,151.0,5
4,3,66000.0,1,1,9,82,2010,275000.0,2,20.36,1197.0,78.9,111.8,5
4,3,56010.0,1,1,9,83,2017,676000.0,2,18.6,1197.0,81.83,114.7,5
1,8,47000.0,0,1,21,179,2017,4290000.0,2,17.9,2143.0,170.0,400.0,5
1,8,60000.0,1,2,24,201,2014,650000.0,5,19.01,1461.0,108.5,248.0,5
1,3,83829.0,1,1,20,158,2014,444000.00000000006,5,25.2,1248.0,74.0,190.0,5
4,3,10000.0,0,1,27,210,2020,509999.99999999994,5,22.0,999.0,67.0,91.0,5
1,8,35000.0,0,2,27,208,2016,925000.0,2,19.6,1461.0,108.45,245.0,5
4,9,51116.0,0,2,8,58,2019,1024000.0,2,18.0,1497.0,117.6,145.0,5
1,9,80000.0,1,3,28,221,2016,500000.0,5,21.14,1498.0,103.52,250.0,5
4,3,40000.0,0,2,31,264,2017,994999.9999999999,5,17.21,1197.0,103.5,175.0,5
4,8,85565.0,0,2,8,57,2012,935000.0,2,11.1,2354.0,158.8,218.0,5
4,8,36916.0,1,1,6,47,2018,834000.0,2,17.0,1497.0,121.36,150.0,5
1,3,90000.0,1,1,31,264,2015,560000.0,5,20.14,1498.0,88.8,230.0,5
4,3,112795.0,1,1,20,158,2012,454000.0,2,22.38,1197.0,88.5,113.0,5
4,5,120000.0,1,2,30,255,2014,1100000.0,5,11.4,1998.0,130.1,181.0,7
4,3,36685.0,1,2,8,56,2016,462000.0,2,19.4,1198.0,86.8,109.0,5
1,8,120000.0,0,2,9,74,2012,900000.0,5,11.72,2199.0,194.3,436.4,7
4,9,4000.0,0,1,1,15,2022,7900000.0,2,13.32,1998.0,254.79,400.0,4
4,3,32184.0,0,2,20,139,2019,843000.0,4,21.4,1197.0,83.1,115.0,5
4,3,32279.0,1,1,20,140,2018,799000.0,2,21.1,998.0,100.5,150.0,5
4,3,59698.0,1,1,9,83,2015,576000.0,2,18.6,1197.0,81.83,114.7,5
1,8,46071.0,1,1,27,207,2018,949000.0,2,20.37,1461.0,108.45,240.0,5
1,8,90000.0,1,1,20,162,2017,795000.0,5,24.3,1248.0,88.5,200.0,5
4,8,9554.0,1,1,9,79,2019,1085000.0,4,18.27,998.0,118.35,171.6,5
4,8,14000.0,0,1,12,94,2022,2590000.0,2,14.1,1368.0,160.77,250.0,5
1,8,74499.0,1,2,27,208,2013,516000.0,4,20.45,1461.0,83.8,200.0,5
4,8,56211.0,0,2,6,47,2017,777000.0,2,14.8,1497.0,121.36,150.0,5
4,3,9001.0,1,1,8,61,2019,753000.0,2,18.2,1199.0,88.7,110.0,5
1,8,65457.0,0,2,17,131,2017,1226000.0,5,16.0,1997.0,140.0,320.0,7
4,3,23682.0,1,1,8,61,2017,725000.0,2,18.7,1199.0,88.7,110.0,5
1,9,50000.0,1,1,9,80,2020,1150000.0,5,22.0,1582.0,126.2,259.87,5
1,3,134557.0,1,2,20,158,2015,629000.0,2,25.2,1248.0,74.0,190.0,5
4,9,96567.0,1,2,20,159,2013,447000.0,2,22.41,1197.0,88.5,113.0,5
4,3,120000.0,1,3,20,142,2015,400000.0,5,23.1,998.0,67.04,90.0,5
1,5,83007.0,1,2,20,146,2014,786000.0,2,20.77,1248.0,88.8,200.0,7
4,3,34000.0,1,1,8,61,2018,745000.0,2,18.7,1199.0,88.7,110.0,5
4,3,81634.0,0,1,9,72,2014,490000.00000000006,2,18.9,1197.0,82.0,114.0,5
4,9,57284.0,0,2,8,58,2017,942000.0,2,18.0,1497.0,117.6,145.0,5
4,8,70000.0,0,2,6,47,2016,675000.0,5,15.63,1499.0,110.4,140.0,5
4,3,70000.0,1,2,8,56,2013,330000.0,5,19.4,1198.0,86.8,109.0,5
4,9,46429.0,0,2,30,259,2018,875000.0,5,17.8,1496.0,105.5,140.0,5
4,3,17624.0,1,1,20,139,2017,869000.0,2,21.4,1197.0,83.1,115.0,5
1,9,100000.0,1,2,31,269,2012,425000.0,5,20.54,1598.0,103.6,250.0,5
4,9,30000.0,1,1,8,58,2019,1070000.0,5,17.4,1497.0,117.6,145.0,5
4,8,49690.0,1,2,6,47,2018,1025000.0,5,15.9,1496.0,120.69,149.0,5
1,8,110000.0,1,1,17,131,2016,1000000.0,5,16.0,2179.0,140.0,330.0,7
4,9,50000.0,1,1,5,40,2009,375000.0,5,16.0,1368.0,90.0,115.0,5
4,9,50000.0,1,1,5,40,2009,375000.0,5,16.0,1368.0,90.0,115.0,5
4,8,55702.0,0,1,6,47,2018,844000.0,2,14.8,1497.0,121.36,150.0,5
1,3,45046.0,1,1,9,84,2016,764000.0,5,21.19,1396.0,88.73,220.0,5
4,3,53000.0,1,2,20,154,2014,420000.0,5,18.5,1197.0,85.8,114.0,5
1,3,94695.0,1,1,20,139,2016,684000.0,5,27.39,1248.0,74.0,190.0,5
4,3,22162.0,1,1,20,139,2019,802999.9999999999,6,21.4,1197.0,83.1,115.0,5
4,3,70000.0,1,2,9,76,2010,320000.0,5,17.92,1086.0,62.1,96.1,5
1,9,115331.0,1,1,8,58,2017,803999.9999999999,2,26.0,1498.0,98.6,200.0,5
1,9,70000.0,0,2,21,174,2013,1400000.0,5,10.0,2148.0,170.0,400.0,5
4,3,42233.0,1,2,20,158,2016,548000.0,2,22.38,1197.0,88.5,113.0,5
4,3,20941.0,1,1,9,72,2019,619000.0,2,18.9,1197.0,81.86,113.75,5
1,8,50000.0,1,2,20,162,2018,1000000.0,5,24.3,1248.0,88.5,200.0,5
4,8,46602.0,1,1,8,64,2018,865000.0,2,17.5,1199.0,88.7,110.0,5
1,8,50000.0,0,2,19,125,2014,1000000.0,5,11.18,2696.0,184.0,402.0,7
1,3,104000.0,1,2,20,158,2014,535000.0,2,25.2,1248.0,74.0,190.0,5
1,8,90000.0,1,1,6,47,2018,975000.0,2,23.0,1498.0,98.96,205.0,5
4,3,50035.0,1,1,20,139,2017,699000.0,5,21.4,1197.0,83.1,115.0,5
4,8,80000.0,1,1,29,237,2021,1150000.0,5,17.57,1199.0,118.36,170.0,5
4,3,90000.0,1,2,9,83,2015,625000.0,2,18.6,1197.0,81.83,114.7,5
1,9,90000.0,0,4,21,174,2011,1000000.0,5,14.21,2143.0,203.0,500.0,5
1,9,120000.0,1,1,30,248,2011,600000.0,5,21.43,1364.0,87.2,205.0,5
4,9,25170.0,1,1,20,159,2015,675000.0,4,22.41,1197.0,88.5,113.0,5
4,9,25022.0,1,1,20,144,2021,893000.0,2,20.65,1462.0,103.25,138.0,5
1,3,100000.0,1,2,20,158,2012,420000.0,5,22.9,1248.0,74.0,190.0,5
4,9,26367.0,1,1,20,144,2020,941000.0,6,20.65,1462.0,103.25,138.0,5
4,9,76567.0,0,2,9,70,2015,630000.0,6,14.5,1797.0,147.5,177.5,5
1,5,120000.0,1,2,30,255,2013,1275000.0,5,12.99,2494.0,100.6,200.0,7
4,3,36459.0,0,2,9,72,2015,525000.0,2,18.9,1197.0,82.0,114.0,5
1,8,93725.0,1,1,20,157,2016,750000.0,2,23.65,1248.0,88.5,200.0,5
4,9,115599.0,0,2,20,144,2016,632000.0,2,19.12,1373.0,91.1,130.0,5
4,9,43469.0,1,1,20,159,2015,645000.0,6,22.41,1197.0,88.5,113.0,5
4,9,70000.0,1,4,6,53,2005,500000.0,5,13.8,1299.0,70.0,10.7,5
1,8,77000.0,0,2,1,20,2019,6795000.0,2,13.38,2993.0,261.5,620.0,5
1,8,100000.0,1,1,20,162,2018,850000.0,2,24.3,1248.0,88.5,200.0,5
4,9,72000.0,1,1,23,192,2008,299000.0,5,14.7,1999.0,115.0,17.8,5
1,9,77000.0,0,1,11,92,2013,2095000.0,2,16.36,2179.0,187.7,450.0,5
1,8,87101.0,0,1,0,8,2013,2800000.0,2,12.07,2967.0,241.4,550.0,7
4,3,40771.0,1,2,31,264,2021,999000.0,4,18.24,999.0,108.62,175.0,5
4,3,28000.0,1,1,8,61,2018,825000.0,2,18.7,1199.0,88.7,110.0,5
4,3,40000.0,1,3,20,163,2008,250000.0,2,18.9,1061.0,67.0,84.0,5
4,8,26000.0,0,1,9,79,2020,1295000.0,2,18.15,998.0,118.35,172.0,5
4,3,76032.0,1,1,20,163,2012,329000.0,2,18.9,998.0,67.1,90.0,5
4,9,113780.0,1,1,20,144,2018,666000.0,2,21.56,1462.0,103.25,138.0,5
1,9,24000.0,0,1,0,1,2019,2290000.0,5,20.38,1968.0,143.0,320.0,5
1,8,65812.0,1,2,9,79,2020,1026000.0,4,23.7,1493.0,98.6,240.26,5
