Fuel_Type,body_type,kms_driven,transmission_type,owner_No,manufacturer,model,Manufacture_year,price,Insurance Validity,Mileage,Engine,Max Power,Torque,Seats
Diesel,Sedan,59000.0,Automatic,1,Audi,Audi A6,2015,2089999.9999999998,Third Party insurance,18.53,1968.0,187.74,400.0,5
Petrol,Hatchback,18835.0,Manual,1,Maruti,Maruti Alto 800,2021,411000.00000000006,Zero Dep,22.05,796.0,47.33,69.0,5
Diesel,SUV,120000.0,Manual,2,Mahindra,Mahindra Scorpio,2010,650000.0,Third Party insurance,12.05,2179.0,120.0,290.0,7
Petrol,Hatchback,40000.0,Automatic,1,Mini,Mini 3 DOOR,2016,3675000.0,Comprehensive,17.33,1998.0,189.08,280.0,4
Petrol,Hatchback,60932.0,Manual,1,Tata,Tata Tiago,2019,610000.0,Comprehensive,23.84,1199.0,83.83,114.0,5
Petrol,SUV,33539.0,Automatic,2,Kia,Kia Seltos,2020,1675000.0,Comprehensive,16.5,1353.0,138.08,242.0,5
Petrol,Hatchback,66837.0,Manual,2,Tata,Tata Tiago,2018,530000.0,Comprehensive,23.84,1199.0,84.0,114.0,5
Petrol,Hatchback,60000.0,Manual,2,Maruti,Maruti Alto,2008,250000.0,Third Party insurance,19.7,796.0,46.3,62.0,5
Petrol,Hatchback,44285.0,Manual,1,Hyundai,Hyundai i20,2019,715000.0,Third Party insurance,18.6,1197.0,81.86,117.0,5
Diesel,SUV,100000.0,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,3500000.0,Third Party insurance,11.3,2987.0,254.8,619.0,7
Diesel,SUV,25000.0,Automatic,1,Tata,Tata New Safari,2021,2250000.0,Comprehensive,14.08,1956.0,167.67,350.0,6
Petrol,Hatchback,36735.0,Manual,1,Hyundai,Hyundai Grand i10,2018,625000.0,Comprehensive,18.9,1197.0,81.86,113.75,5
Diesel,SUV,79000.0,Automatic,1,Audi,Audi Q7,2015,2695000.0,Comprehensive,12.07,2967.0,241.4,550.0,7
Diesel,SUV,120000.0,Manual,2,Mahindra,Mahindra Scorpio,2010,650000.0,Third Party insurance,12.05,2179.0,120.0,290.0,8
Petrol,Hatchback,10000.0,Automatic,1,Renault,Renault KWID,2022,550000.0,Third Party insurance,22.0,999.0,67.0,91.0,5
Diesel,SUV,53645.0,Manual,1,Tata,Tata Nexon,2018,825000.0,Comprehensive,21.5,1497.0,108.5,260.0,5
Petrol,Hatchback,100000.0,Manual,2,Hyundai,Hyundai Getz,2006,220000.00000000003,Third Party insurance,15.3,1341.0,83.0,115.0,5
Petrol,Hatchback,53982.0,Automatic,1,Maruti,Maruti Celerio,2014,428000.0,Comprehensive,26.68,998.0,65.71,89.0,5
Diesel,Sedan,110000.0,Manual,1,Skoda,Skoda Rapid,2014,695000.0,Third Party insurance,21.14,1498.0,103.52,250.0,5
Petrol,SUV,37741.0,Manual,2,Ford,Ford Ecosport,2019,930000.0000000001,Third Party insurance,15.9,1496.0,120.69,149.0,5
Petrol,Hatchback,17367.0,Manual,1,Maruti,Maruti Alto 800,2021,455000.0,Comprehensive,22.05,796.0,47.33,69.0,5
Diesel,SUV,94000.0,Manual,1,Hyundai,Hyundai Creta,2017,1195000.0,Comprehensive,19.67,1582.0,126.2,259.9,5
Diesel,SUV,33700.0,Automatic,1,Tata,Tata Harrier,2021,2175000.0,Comprehensive,14.6,1956.0,167.67,350.0,5
Petrol,Hatchback,54601.0,Manual,3,Maruti,Maruti Swift,2014,442000.0,Comprehensive,22.38,1197.0,88.5,113.0,5
Diesel,Hatchback,110000.0,Manual,1,Maruti,Maruti Swift,2018,690000.0,Third Party insurance,28.4,1248.0,74.0,190.0,5
Petrol,Hatchback,64000.0,Manual,2,Maruti,Maruti Celerio,2017,500000.0,Third Party,23.1,998.0,67.04,90.0,5
Diesel,Sedan,40525.0,Automatic,1,BMW,BMW 3 Series GT,2016,3395000.0000000005,Comprehensive,21.76,1995.0,188.0,400.0,5
Diesel,Sedan,100000.0,Manual,1,Maruti,Maruti Ciaz,2015,650000.0,Third Party insurance,26.21,1248.0,88.5,200.0,5
Petrol,Hatchback,44154.0,Automatic,2,Honda,Honda Jazz,2016,537000.0,Comprehensive,19.0,1199.0,88.7,110.0,5
Diesel,MUV,70000.0,Manual,1,Renault,Renault Lodgy,2016,750000.0,Third Party insurance,19.98,1461.0,108.5,245.0,7
Petrol,Sedan,79000.0,Automatic,1,Skoda,Skoda Octavia,2018,1789999.9999999998,Comprehensive,15.1,1798.0,178.0,250.0,5
Petrol,Hatchback,68039.0,Manual,2,Tata,Tata Tiago,2017,468000.0,Third Party insurance,23.84,1199.0,84.0,114.0,5
Petrol,Hatchback,60000.0,Manual,2,Maruti,Maruti Ritz,2014,420000.0,Third Party insurance,18.5,1197.0,85.8,114.0,5
Petrol,Hatchback,60000.0,Manual,2,Maruti,Maruti Ritz,2014,420000.0,Third Party insurance,18.5,1197.0,85.8,114.0,5
Petrol,Hatchback,10000.0,Manual,1,Hyundai,Hyundai i20,2021,919999.9999999999,Third Party insurance,20.0,998.0,118.36,171.62,5
Petrol,Sedan,49873.0,Manual,1,Honda,Honda City,2013,533000.0,Third Party,16.8,1497.0,116.3,146.0,5
Petrol,Hatchback,90000.0,Automatic,3,Volkswagen,Volkswagen Polo,2013,850000.0,Third Party insurance,17.2,1197.0,103.6,175.0,5
Diesel,Sedan,48960.0,Manual,2,Skoda,Skoda Rapid,2017,751000.0,Third Party insurance,21.13,1498.0,108.6,250.0,5
Diesel,Hatchback,70000.0,Manual,2,Hyundai,Hyundai Grand i10,2014,388000.0,Third Party insurance,24.0,1120.0,70.0,160.0,5
Petrol,Hatchback,68000.0,Manual,2,Hyundai,Hyundai i20,2013,490000.00000000006,Comprehensive,18.5,1197.0,82.85,113.7,5
Diesel,SUV,23017.0,Manual,1,Mahindra,Mahindra KUV 100,2016,494000.00000000006,Third Party,25.32,1198.0,77.0,190.0,6
Diesel,Hatchback,83000.0,Manual,2,Hyundai,Hyundai i20,2013,525000.0,Comprehensive,21.27,1396.0,88.76,219.6,5
Diesel,SUV,92000.0,Automatic,2,BMW,BMW X3,2016,2890000.0,Comprehensive,16.55,1995.0,187.74,400.0,5
Petrol,Hatchback,62139.0,Manual,1,Maruti,Maruti Wagon R,2018,550000.0,Comprehensive,20.51,998.0,67.04,90.0,5
Lpg,Hatchback,74000.0,Manual,1,Hyundai,Hyundai i10,2013,365000.0,Comprehensive,19.2,1086.0,68.05,99.04,5
Petrol,Hatchback,26500.0,Automatic,2,Renault,Renault KWID,2016,420000.0,Comprehensive,24.04,999.0,67.0,91.0,5
Diesel,Sedan,81716.0,Automatic,1,Volvo,Volvo S60,2017,1895000.0,Comprehensive,27.03,1969.0,190.0,400.0,5
Diesel,Sedan,24000.0,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,5990000.0,Comprehensive,17.0,2987.0,254.8,620.0,5
Petrol,SUV,10000.0,Automatic,1,Mahindra,Mahindra XUV300,2022,1050000.0,Third Party insurance,17.0,1197.0,108.6,200.0,5
Petrol,SUV,18000.0,Automatic,1,MG,MG Hector Plus,2021,2075000.0,Comprehensive,16.56,1451.0,141.0,250.0,6
Petrol,Hatchback,38197.0,Manual,1,Honda,Honda Brio,2013,394000.0,Third Party,19.4,1198.0,86.8,109.0,5
Petrol,Hatchback,23000.0,Automatic,2,Maruti,Maruti Baleno,2017,725000.0,Comprehensive,19.56,1197.0,81.8,113.0,5
Petrol,Hatchback,50000.0,Manual,1,Maruti,Maruti Alto K10,2013,240000.0,Third Party insurance,20.92,998.0,67.1,90.0,5
Petrol,SUV,10000.0,Automatic,1,Renault,Renault Kiger,2022,835000.0,Third Party insurance,19.03,999.0,71.01,96.0,5
Petrol,Hatchback,19000.0,Manual,1,Hyundai,Hyundai Grand i10,2019,695000.0,Third Party insurance,18.9,1197.0,81.86,113.75,5
Petrol,SUV,14000.0,Automatic,1,Kia,Kia Seltos,2020,1725000.0,Comprehensive,16.5,1353.0,138.08,242.0,5
Petrol,Hatchback,29268.0,Manual,1,Hyundai,Hyundai EON,2014,330000.0,Comprehensive,21.1,814.0,55.2,74.5,5
Petrol,Sedan,20000.0,Automatic,1,Volkswagen,Volkswagen Vento,2019,990000.0,Third Party insurance,18.19,1197.0,103.2,175.0,5
Petrol,Sedan,30000.0,Manual,1,Toyota,Toyota Yaris,2018,750000.0,Third Party insurance,17.1,1496.0,105.5,140.0,5
Diesel,SUV,30000.0,Manual,1,MG,MG Hector,2021,1750000.0,Third Party insurance,17.41,1956.0,167.68,350.0,5
Petrol,SUV,7100.0,Automatic,1,Hyundai,Hyundai Alcazar,2022,2082999.9999999998,Comprehensive,14.2,1999.0,156.9,191.0,6
Petrol,Hatchback,43679.0,Manual,1,Hyundai,Hyundai i10,2010,271000.0,Comprehensive,19.81,1086.0,68.05,99.04,5
Petrol,SUV,40000.0,Automatic,1,Hyundai,Hyundai Creta,2018,1280000.0,Third Party insurance,14.8,1591.0,121.3,151.0,5
Diesel,Hatchback,40562.0,Manual,1,Hyundai,Hyundai i20,2012,436000.00000000006,Third Party,22.54,1396.0,88.76,219.6,5
Petrol,SUV,20000.0,Automatic,1,Hyundai,Hyundai Venue,2019,1250000.0,Third Party insurance,18.15,998.0,118.35,171.6,5
Diesel,SUV,58600.0,Automatic,1,Mahindra,Mahindra XUV500,2016,1350000.0,Third Party insurance,16.0,2179.0,140.0,330.0,7
Petrol,SUV,20000.0,Automatic,1,Hyundai,Hyundai Venue,2019,1250000.0,Third Party insurance,18.15,998.0,118.35,171.6,5
Petrol,SUV,42050.0,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,2225000.0,Comprehensive,18.4,1498.0,147.94,250.0,5
Petrol,Hatchback,65017.0,Automatic,1,Maruti,Maruti Celerio,2015,475000.0,2,23.1,998.0,67.04,90.0,5
Diesel,Sedan,80000.0,Automatic,2,BMW,BMW 3 Series,2008,600000.0,Third Party insurance,13.2,1995.0,170.0,34.7,5
Petrol,SUV,30000.0,Automatic,1,Jeep,Jeep Compass,2021,2450000.0,Third Party insurance,14.1,1368.0,160.77,250.0,5
Petrol,SUV,20000.0,Automatic,1,Kia,Kia Seltos,2020,1625000.0,Third Party insurance,16.5,1353.0,138.08,242.0,5
Petrol,Hatchback,80000.0,Manual,3,Hyundai,Hyundai i10,2009,249000.00000000003,Third Party insurance,20.36,1197.0,78.9,111.8,5
Diesel,SUV,30000.0,Automatic,2,Audi,Audi Q5,2016,2599000.0,Third Party insurance,14.16,1968.0,174.3,380.0,5
Petrol,Hatchback,80000.0,Manual,3,Hyundai,Hyundai i10,2009,249000.00000000003,Third Party insurance,20.36,1197.0,78.9,111.8,5
Petrol,Hatchback,52204.0,Manual,1,Maruti,Maruti Alto K10,2017,385000.0,Third Party,24.39,998.0,65.71,89.0,5
Petrol,Hatchback,110000.0,Manual,3,Hyundai,Hyundai i20,2012,300000.0,Third Party insurance,17.0,1197.0,80.0,11.4,5
Diesel,SUV,89000.0,Automatic,1,Ford,Ford Endeavour,2017,2975000.0,Third Party insurance,10.91,3198.0,197.0,470.0,7
Petrol,Hatchback,29813.0,Manual,2,Maruti,Maruti Alto 800,2014,276000.0,Comprehensive,22.05,796.0,47.33,69.0,5
Petrol,Hatchback,30000.0,Manual,1,Ford,Ford Figo,2018,500000.0,Third Party insurance,18.16,1196.0,86.8,112.0,5
Petrol,Hatchback,13345.0,Automatic,1,Maruti,Maruti Ignis,2020,730000.0,Comprehensive,20.89,1197.0,81.8,113.0,5
Diesel,SUV,17100.0,Automatic,1,Hyundai,Hyundai Alcazar,2022,2245000.0,Comprehensive,18.1,1498.0,113.42,250.0,7
Petrol,Hatchback,75000.0,Manual,1,Hyundai,Hyundai Grand i10,2014,399000.0,Comprehensive,18.9,1197.0,82.0,114.0,5
